id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage
SBILIFE,https://mkt.in/static/mkt-icons/nifty100/SBILIFE.png,SBI Life Insurance Company Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"SBI Life Insurance Company Ltd is engaged in the business of life insurance and annuity. It was started as a Joint-venture between State Bank of India and BNP Paribas Cardif S.A.[1]


",https://www.sbilife.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=SBILIFE,https://www.bseindia.com/stock-share-price/sbi-life-insurance-company-ltd/SBILIFE/540719/,10.0,162.0,13.2,12.0
JINDALSTEL,https://mkt.in/static/mkt-icons/nifty100/JINDALSTEL.png,Jindal Steel & Power Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AJINDALSTEL,"Jindal Steel & Power Ltd is one of the India's leading steel producers with significant presence in sectors like mining and power generation. The group has global presence through subsidiaries, mainly in Australia, Botswana, Indonesia, Mauritius, Mozambique, Madagascar, Namibia, South Africa, Tanzania and Zambia",http://www.jindalsteelpower.com/,https://www.nseindia.com/get-quotes/equity?symbol=JINDALSTEL,https://www.bseindia.com/stock-share-price/jindal-steel-power-ltd/JINDALSTEL/532286/,1.0,464.0,13.2,14.1
IRFC,https://mkt.in/static/mkt-icons/nifty100/IRFC.png,Indian Railway Finance Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AIRFC,"Incorporated in 1986, Indian Railway Finance Corporation borrows funds from the financial markets to finance the acquisition / creation of assets which are then leased out to the Indian Railways as finance lease",https://irfc.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=IRFC,https://www.bseindia.com/stock-share-price/indian-railway-finance-corporation-ltd/IRFC/543257/,10.0,39.0,5.73,13.7
TECHM,https://mkt.in/static/mkt-icons/nifty100/TECHM.png,Tech Mahindra Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Tech Mahindra Ltd provides comprehensive range of IT services, including IT enabled service, application development and",https://www.techmahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=TECHM,https://www.bseindia.com/stock-share-price/tech-mahindra-ltd/TECHM/532755/,5.0,270.0,11.9,8.63
BHARTIARTL,https://mkt.in/static/mkt-icons/nifty100/BHARTIARTL.png,Bharti Airtel Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ABHARTIARTL,"Bharti Airtel Ltd is one of the world's leading providers of telecommunication services with presence in 18 countries representing India, Sri
Lanka, 14 countries in Africa.",http://www.airtel.in/,https://www.nseindia.com/get-quotes/equity?symbol=BHARTIARTL,https://www.bseindia.com/stock-share-price/bharti-airtel-ltd/BHARTIARTL/532454/,5.0,153.0,13.1,14.9
