metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,7.294575484746149,11.359688851919307,15.90290517275005,23.579615658136632,39.15231764798816,117.6888764539349,601.3214490617332
debt_to_equity,0.0038784737909940705,0.04281971170727118,0.40521704663495706,1.6909300835247243,6.45895470637992,1.6557967438945775,2.8498271837938285
revenue_cagr_5yr,5.805951462565191,8.419635020495464,11.83076234886119,17.048092480582422,20.99228454670554,12.859892205107789,7.37270835190715
pat_cagr_5yr,4.324477085008156,9.696074199902505,16.12648618019128,23.620847783861322,39.40915523391441,21.074052669984063,21.677283016540517
eps_cagr_5yr,3.4297978961666393,9.137923569530882,14.869835499703509,21.789037650879408,31.794899923960624,18.927874697527358,20.313759698048802
operating_profit_margin_pct,9.828496146914242,15.967745209774625,26.006450869504782,40.954102654938524,84.25349024470464,34.78000933934768,27.64581865027154
net_profit_margin_pct,4.60996999769213,7.232424227856129,14.128209309488865,20.3643913103396,29.282025230717128,20.0718356407376,45.430008908917664
free_cash_flow_cr,-14435.1,-1290.0,1095.0,8348.5,20412.2,893.6086956521739,23126.51041124108
